instruction,exec_unit,comment
adr[p]?,address,
ld[pr],address,
ldur,address,
st[123]d,address,
st[rp],address,
stur,address,
vadr,simd_address,
vst[123]d,simd_address,
vst[rp],simd_address,
add[s]?,alu,
b.*,alu,
cbnz,alu,
cmp,alu,
dec,alu,
fmov,alu,
inc[bd],alu,
ls[lr],alu,
madd,alu,
mov[kz]?,alu,
smull,alu,
nop,alu,
orr,alu,
sbfiz,alu,
sub[s]?,alu,
sxtw,alu,
vdup,alu,
fadd,fp_add,
fsub,fp_add,
fcmp,fp_add,
fcsel,fp_add,
fneg,fp_add,
fdiv,fp_div,
frecpe,fp_div,
fsqrt,fp_div,
frsqrte,fp_div,
f[n]?madd,fp_fma,
f[n]?msub,fp_fma,
fml[as],fp_fma,
frecps,fp_fma,single Newton-Raphson iteration
f[n]?mul,fp_mul,
vadd,simd_alu,
vasr,simd_alu,
vfmov,simd_alu,
vindex,simd_alu,
vld[123][d]?,simd_alu,
vldr,simd_alu,
vlsl,simd_alu,
vmad,simd_alu,
vmla,simd_alu,
vmul,simd_alu,
vmovprfx,simd_alu,
vmov,simd_alu,
vorr,simd_alu,
vpfalse,simd_alu,
vptest,simd_alu,
vptrue,simd_alu,
vsel,simd_alu,
vshl,simd_alu,
vssra,simd_alu,
vsunpk(lo|hi),simd_alu,
vsxtw,simd_alu,
vuzp[12],simd_alu,
vwhile(lo|hi),simd_alu,
vzip[12],simd_alu,
vfadd,simd_fp_add,
vfcmeq,simd_fp_add,
vfneg,simd_fp_add,
vfsub,simd_fp_add,
vfdiv,simd_fp_div,
vfrecpe,simd_fp_div,
vfrsqrte,simd_fp_div,
vfsqrt,simd_fp_div,
vfmad,simd_fp_fma,
vf[n]?ml[as],simd_fp_fma,
vf[n]?msb,simd_fp_fma,
vfrecps,simd_fp_fma,single Newton-Raphson iteration
vfmul,simd_fp_mul,
