instruction,exec_unit,comment
add[q]?,alu,
and,alu,
callq,alu,
cltq,alu,
cmov[eg],alu,
cmovge,alu,
cmp,alu,
dec,alu,
imul,alu,
inc,alu,
incq,alu,
j.*,alu,
lea,alu,
loop,alu,
mov,alu,
movabs,alu,
movddup,alu,
movslq,alu,
movsxd,alu,
nop[w]?,alu,
pop,alu,
push,alu,
s[ah][lr],alu,
sub,alu,
test[b]?,alu,
xor,alu,
kand[n]?[wbqd],avx512,
kmov[wbqd],avx512,
knotw,avx512,
kortestw,avx512,
kshiftr[wbqd],avx512,
kunpck(bw|wd|dq),avx512,
kxnor[wbqd],avx512,
kxor[wbqd],avx512,
valignd,avx512,
vbroadcasti64x4,avx512,
vextracti64x[248],avx512,
vfixupimm[sp]d,avx512,Agner Fog claims insn decodes to ports 0+1 or 0+5
vfpclasspd,avx512,
vmovdq[au](32|64),avx512,
vpblendmq,avx512,
vpbroadcast[bwdq],avx512,
vpbroadcastm[bw]2[qd],avx512,
vpcmpeqq,avx512,
vpcmplt[dq],avx512,
vpcmpneqq,avx512,
vpconflict[dq],avx512,
vpmov(wb|db|qb|dw|qw|qd),avx512,
vperm[it]2[wdq],avx512,
vperm[it]2pd,avx512,
vplzcnt[dq],avx512,
vpternlogd,avx512,
vptestm[bwdq],avx512,
vscalefpd,avx512,
vscatter[dq]p[sd],avx512,
retq,DISCARD,
vzeroupper,DISCARD,Agner Fog does not report port scheduling
[v]?[u]?comisd,fp_add,Probably involves subtraction
[v]?adds[sd],fp_add,
[v]?maxsd,fp_add,Probably involves subtraction
[v]?minsd,fp_add,Probably involves subtraction
[v]?subs[sd],fp_add,
vcmpltsd,fp_add,Probably involves subtraction
[v]?divs[sd],fp_div,
[v]?sqrts[sd],fp_div,
vrcp14sd,fp_div_fast,
vrcp28sd,fp_div_fast,
vrsqrt14sd,fp_div_fast,
vrsqrt28sd,fp_div_fast,
vf[n]?madd[0-9]*s[sd],fp_fma,
vf[n]?msub[0-9]*s[sd],fp_fma,
[v]?muls[sd],fp_mul,
vgetexpsd,fp_mul,"Performs log2, yet not limited to FP div port"
vgetmantsd,fp_mul,Performs 2^x
vscalefsd,fp_mul,Performs 2^x
[v]?dpp[sd],fp_shuffle,3 uops on p015
[v]?mov[hl]p[sd],fp_shuffle,
[v]?pmovsxdq,fp_shuffle,
[v]?pmovzx(bw|bd|bq|wd|wq|dq),fp_shuffle,
[v]?pshufd,fp_shuffle,
[v]?psrlq,fp_shuffle,
[v]?punpck[lh]qdq,fp_shuffle,
[v]?punpckldq,fp_shuffle,
[v]?shufp[sd],fp_shuffle,
[v]?unpck[hl]p[sd],fp_shuffle,
[v]?xorp[sd],fp_shuffle,
vandp[sd],fp_shuffle,
vbroadcasts[sd],fp_shuffle,
vextract[if]128,fp_shuffle,
vgather[dq]pd,fp_shuffle,"Agner Fog claims insn decodes to ports 0,1 and 5, may need to map insn to multiple units"
vinsertf128,fp_shuffle,
vinsertf32x4,fp_shuffle,
vinserti64x4,fp_shuffle,
vmovddup,fp_shuffle,
vperm2f128,fp_shuffle,
vpermilpd,fp_shuffle,
vpermpd,fp_shuffle,
vpermq,fp_shuffle,
vperm[dw],fp_shuffle,
vpgatherd[dq],fp_shuffle,"Agner Fog claims insn decodes to ports 0,1 and 5, may need to map insn to multiple units"
[v]?pinsr[bdq],fp_shuffle,
vshuff32x4,fp_shuffle,
[v]?mov[au]p[sd],load,
[v]?movs[sd],load,
prefetcht0,load,
[v]?mov[qd],simd_alu,
[v]?movdq[au],simd_alu,
[v]?padd[dq],simd_alu,
[v]?pand,simd_alu,
[v]?pcmpeq[bwd],simd_alu,
[v]?pmull[dq],simd_alu,
[v]?pmulu[qd][qd],simd_alu,
[v]?psll[wdq],simd_alu,
[v]?psub[dq],simd_alu,
[v]?pxor,simd_alu,
[v]?por,simd_alu,
[v]psrldq,simd_alu,
vpxord,simd_alu,
[v]?addp[sd],simd_fp_add,
[v]?minpd,simd_fp_add,Probably involves subtraction
[v]?subp[sd],simd_fp_add,
[v]?divp[sd],simd_fp_div,
[v]?sqrtp[sd],simd_fp_div,
vrcp14pd,simd_fp_div_fast,
vrcp28pd,simd_fp_div_fast,
vrsqrt14pd,simd_fp_div_fast,
vrsqrt28pd,simd_fp_div_fast,
vf[n]?madd[0-9]*p[sd],simd_fp_fma,
vf[n]?msub[0-9]*p[sd],simd_fp_fma,
[v]?mulp[sd],simd_fp_mul,
[v]?blendp[sd],simd_fp_shuffle,
